Σ σ
μιό mjo
μιώ mjo
ννιά nja
νιά nja
νιέ nje
νιού nju
νιό njo
νιώ njo
γκιά gja
γκιέ gje
γκιώ gjo
γκιού gju
γκιό gjo
κιά kja
κιέ kje
κιώ kjo
κιού kju
κιό kjo
χιά xja
χιέ xje
χιώ xjo
χιού xju
χιό xjo
γιά ɣja
γιέ ɣje
γιού ɣju
γιό ɣjo
γιώ ɣjo
δία ðia
δεία ðia
δίε ðie
δίου ðiu
δίο ðio
δίω ðio
λία lia
λίου liu
λίο lio
λίε lie
λίω lio
μία mia
μίε mie
μίου miu
μίο mio
μίω mio
νία nia
νίε nie
νίου niu
νίο nio
νίω nio
γκία gia
γκίε gie
γκίω gio
γκίου giu
γκίο gio
κία kia
κεία kia
κείου kiu
κείω kio
κείε kie
κίε kie
κίω kio
κίου kiu
κίο kio
χία xia
χίε xie
χίω xio
χίου xiu
χίο xio
γία ʝia
γίε ʝie
γίου ɣiu
γίο ɣio
γείο ɣio
γείου ɣiu
γείω ɣiο
γεία ɣia
γίω ɣio
ποια pja
ποιου pju
ποιο pjo
ποιω pjo
ποιε pje
κια kja
κιε kje
κιω kjo
κιου kju
κιο kjo
χια xja
χιε xje
χιω xjo
χιου xju
χιο xjo
σμπ zb
σμ zm
σντ zd
σν zn
σγκ zg
αί e
αι e
οί i
οι i
εί i
ει i
ού u
ου u
αύ av
αυ av
εύ ev
ευ ev
έ e
ά a
α a
ε e
ή i
η i
ΐ i
ί i
ϊ i
ι i
ΰ i
ύ i
ϋ i
υ i
ό o
ο o
ώ o
ω o
νν n
σγ zɣ
σδ zð
σρ zr
σλ zl
γκ g
γγ g
νg g
ντ d
μπ b
νb b
ππ p
π p
ττ t
τ t
κκ k
κ k
φ f
θ θ
χ x
β v
δ ð
γ ɣ
σσ s
σ s
ς s
ζ z
μμ m
μ m
νν n
ν n
λλ l
λ l
ρρ r
ρ r
ξ ks
ψ ps
