και	c e
πάει	p à i
διότι	ð ʝ ò t i
χρειάζεται	x r ʝ à z e t e
μάλλον	m à l o n
σειρά	s i r à
πρόγραμμα	p r ò ɣ r a m a
ανάπτυξη	a n à p t i k s i
δική	ð i c ì
καί	c è
πρόκειται	p r ò c i t e
τέτοια	t è t i a
απάντηση	a p à d i s i
εποχή	e p o ç ì
πει	p i
φυσικά	f i s i k à
πόλη	p ò l i
άτομα	à t o m a
πόσο	p ò s o
β	v
πασοκ	p a s o k
εαυτό	e a f t ò
αγορά	a ɣ o r à
πάρει	p à r i
ώρες	ò r e s
παιδί	p e ð ì
βιβλίο	v i v l ì o
αλήθεια	a l ì θ i a
μορφή	m o r f ì
άλλοι	à l i
πια	p i/j a
ανάγκη	a n à ɟ i
δυνατότητα	ð i n a t ò t i t a
πραγματικότητα	p r a ɣ m a t i k ò t i t a
ανάμεσα	a n à m e s a
δύναμη	ð ì n a m i
περί	p e r ì
ηπα	i p a
πού	p ù
σημαντικό	s i m a d i k ò
ήθελα	ì θ e l a
νομίζω	n o m ì z o
καμία	k a m ì a
συχνά	s i x n à
προσπάθεια	p r o s p à θ i a
τρεις	t r i s
ευρώπη	e v r ò p i
κοινωνία	c i n o n ì a
δικό	ð i k ò
εικόνα	i k ò n a
πρώτα	p r ò t a
κανένα	k a n è n a
μόλις	m ò l i s
μέτρα	m è t r a
μήνες	m ì n e s
άποψη	à p o p s i
εργασίας	e r ɣ a s ì a s
απόφαση	a p ò f a s i
αρχές	a r ç è s
πέρα	p è r a
καιρό	c e r ò
εσύ	e s ì
περίοδο	p e r ì o ð o
χώρας	x ò r a s
γυναίκα	ʝ i n è k a
δίνει	ð ì n i
κράτος	k r à t o s
πλαίσιο	p l è s i/j o
μάτια	m à t i/j a
όσα	ò s a
παιχνίδι	p e x n ì ð i
ρόλο	r ò l o
κόσμου	k ò z m u
ίδιος	ì ð i/j o s
εκείνη	e c ì n i
κόσμος	k ò z m o s
δρόμο	ð r ò m o
λόγια	l ò ʝ a
τέτοιο	t è t i o
πλευρά	p l e v r à
περισσότερες	p e r i s ò t e r e s
λένε	l è n e
σώμα	s ò m a
γλώσσα	ɣ l ò s a
συνήθως	s i n ì θ o s
χέρια	ç è r i/j a
μέλλον	m è l o n
πράγμα	p r à ɣ m a
λάθος	l à θ o s
δικαίωμα	ð i c è o m a
επιτροπή	e p i t r o p ì
αποτελέσματα	a p o t e l è z m a t a
είστε	ì s t e
μουσική	m u s i c ì
πιστεύω	p i s t è v o
συζήτηση	s i z ì t i s i
σημασία	s i m a s ì a
δει	ð i
λέω	l è o
ημέρα	i m è r a
μεγαλύτερη	m e ɣ a l ì t e r i
λύση	l ì s i
τομέα	t o m è a
εξής	e k s ì s
προκειμένου	p r o c i m è n u
λόγος	l ò ɣ o s
γυναίκες	ʝ i n è c e s
ανθρώπων	a n θ r ò p o n
πολλοί	p o l ì
ελληνική	e l i n i c ì
πολιτικής	p o l i t i c ì s
περιβάλλον	p e r i v à l o n
έγραψε	è ɣ r a p s e
πορεία	p o r ì a
τρόπος	t r ò p o s
επεξεργασία	e p e k s e r ɣ a s ì a
αγάπη	a ɣ à p i
ευκαιρία	e v c e r ì a
αιώνα	e ò n a
καλύτερο	k a l ì t e r o
νερό	n e r ò
κάνεις	k à n i s
επιλογή	e p i l o ʝ ì
οποίοι	o p ì i
μικρό	m i k r ò
ενδιαφέρον	e n ð i/j a f è r o n
περιπτώσεις	p e r i p t ò s i s
αγώνα	a ɣ ò n a
κάποιες	k à p ç e s
λες	l e s
ναι	n e
μέλος	m è l o s
θέσεις	θ è s i s
πάρα	p à r a
μερικές	m e r i c è s
δημιουργία	ð i m i/j u r ʝ ì a
έλληνες	è l i n e s
ιδέα	i ð è a
δώσει	ð ò s i
μένα	m è n a
σκοπό	s k o p ò
αργότερα	a r ɣ ò t e r a
ετών	e t ò n
γίνονται	ʝ ì n o d e
εσείς	e s ì s
χέρι	ç è r i
συνθήκες	s i n θ ì c e s
κρίση	k r ì s i
διάστημα	ð ʝ à s t i m a
αύξηση	à v k s i s i
τιμή	t i m ì
κείμενο	c ì m e n o
θεού	θ e ù
πμ	p m
δούμε	ð ù m e
σεπτεμβρίου	s e p t e m v r ì u
βρίσκονται	v r ì s k o d e
μικρή	m i k r ì
έννοια	è n i a
λόγους	l ò ɣ u s
μπορείς	b o r ì s
κάποιον	k à p ç o n
γνώμη	ɣ n ò m i
θεός	θ e ò s
ημέρες	i m è r e s
ζήτημα	z ì t i m a
πρόσωπο	p r ò s o p o
λ	l
θέλουν	θ è l u n
αμέσως	a m è s o s
γρήγορα	ɣ r ì ɣ o r a
καλύτερη	k a l ì t e r i
απλώς	a p l ò s
κέντρο	c è d r o
εμπειρία	e b i r ì a
υπήρχε	i p ì r ç e
ταινία	t e n ì a
άλλος	à l o s
κάνετε	k à n e t e
κοινό	c i n ò
μηνύματα	m i n ì m a t a
λειτουργία	l i t u r ʝ ì a
ανά	a n à
συμβαίνει	s i m v è n i
περιοχές	p e r i/j o ç è s
δείτε	ð ì t e
χρήματα	x r ì m a t a
εφαρμογή	e f a r m o ʝ ì
μα	m a
εκλογές	e k l o ʝ è s
σχέδιο	s ç è ð i/j o
είδους	ì ð u s
ειδικά	i ð i k à
βαθμό	v a θ m ò
εργασία	e r ɣ a s ì a
υπηρεσίες	i p i r e s ì e s
ομάδες	o m à ð e s
δεύτερο	ð è f t e r o
νέες	n è e s
έρευνα	è r e v n a
μυαλό	m i a l ò
λέξη	l è k s i
βάρος	v à r o s
οκτωβρίου	o k t o v r ì u
σχέσεις	s ç è s i s
σελίδα	s e l ì ð a
συστήματος	s i s t ì m a t o s
οικονομική	i k o n o m i c ì
δεύτερη	ð è f t e r i
βλέπω	v l è p o
δυνατόν	ð i n a t ò n
εύκολα	è v k o l a
ρε	r e
βοήθεια	v o ì θ i a
είχαμε	ì x a m e
εε	e e
απέναντι	a p è n a d i
ενέργεια	e n è r ʝ i a
μεγάλες	m e ɣ à l e s
πολίτες	p o l ì t e s
λεπτά	l e p t à
αλλαγή	a l a ʝ ì
οπότε	o p ò t e
έρχεται	è r ç e t e
διαφορά	ð i/j a f o r à
πέντε	p è d e
σίγουρα	s ì ɣ u r a
μεγαλύτερο	m e ɣ a l ì t e r o
αποστολή	a p o s t o l ì
βράδυ	v r à ð i
τελευταίο	t e l e f t è o
άνθρωπο	à n θ r o p o
χρόνου	x r ò n u
τρία	t r ì a
πρόταση	p r ò t a s i
καθόλου	k a θ ò l u
δικαιώματα	ð i c e ò m a t a
πάντως	p à d o s
αποτελούν	a p o t e l ù n
λιγότερο	l i ɣ ò t e r o
συνεργασία	s i n e r ɣ a s ì a
έργα	è r ɣ a
πολλούς	p o l ù s
χαρακτηριστικά	x a r a k t i r i s t i k à
ποσοστό	p o s o s t ò
τμήμα	t m ì m a
εναντίον	e n a d ì o n
ωστόσο	o s t ò s o
μερικά	m e r i k à
συμμετοχή	s i m e t o ç ì
μακριά	m a k r ʝ à
πήρε	p ì r e
προσφέρει	p r o s f è r i
απόψεις	a p ò p s i s
διάφορα	ð ʝ à f o r a
έστω	è s t o
οποιαδήποτε	o p ç a ð ì p o t e
όσον	ò s o n
στόχο	s t ò x o
αντί	a d ì
επιτυχία	e p i t i ç ì a
δυνάμεις	ð i n à m i s
είπα	ì p a
έκδοση	è k ð o s i
δύσκολο	ð ì s k o l o
μήνα	m ì n a
κίνηση	c ì n i s i
πρόεδρος	p r ò e ð r o s
δείχνει	ð ì x n i
θέλετε	θ è l e t e
τύπου	t ì p u
ιουνίου	i u n ì u
γνώση	ɣ n ò s i
ενα	e n a
παρουσία	p a r u s ì a
ελλάδας	e l à ð a s
πρωί	p r o ì
ποιος	p ç o s
καρδιά	k a r ð ʝ à
φως	f o s
αξία	a k s ì a
ιουλίου	i u l ì u
σκέψη	s c è p s i
πούμε	p ù m e
χαρά	x a r à
είδος	ì ð o s
αι	e
σύνολο	s ì n o l o
σημεία	s i m ì a
ομάδας	o m à ð a s
συγκεκριμένο	s i ɟ e k r i m è n o
ηλικία	i l i c ì a
βιβλία	v i v l ì a
προϊόντα	p r o i ò d a
σχόλιο	s x ò ʎ o
επιχειρήσεις	e p i ç i r ì s i s
υπόθεση	i p ò θ e s i
ανάγκες	a n à ɟ e s
ανθρώπου	a n θ r ò p u
γίνουν	ʝ ì n u n
μόνος	m ò n o s
τίτλο	t ì t l o
κάποιοι	k à p ç o i
χιλιάδες	ç i ʎ à ð e s
τού	t ù
ξανά	k s a n à
μήνυμα	m ì n i m a
αρέσει	a r è s i
αναφέρεται	a n a f è r e t e
εξ	e k s
όσους	ò s u s
επιτροπής	e p i t r o p ì s
κομμάτι	k o m à t i
περισσότεροι	p e r i s ò t e r i
συμβούλιο	s i m v ù ʎ o
άρχισε	à r ç i s e
αναρτήθηκε	a n a r t ì θ i c e
μεγάλα	m e ɣ à l a
έδωσε	è ð o s e
παπανδρέου	p a p a n ð r è u
καμιά	k a m j à
ξέρει	k s è r i
νέων	n è o n
μόνον	m ò n o n
γνωστό	ɣ n o s t ò
διάφορες	ð ʝ à f o r e s
γενικά	ʝ e n i k à
ψυχή	p s i ç ì
δίπλα	ð ì p l a
αλλαγές	a l a ʝ è s
λογική	l o ʝ i c ì
μαρτίου	m a r t ì u
πράξη	p r à k s i
φύση	f ì s i
λέμε	l è m e
ήμουν	ì m u n
εταιρεία	e t e r ì a
εντελώς	e d e l ò s
ποια	p ç a
ευρωπαϊκή	e v r o p a i c ì
γονείς	ɣ o n ì s
κακό	k a k ò
εχει	e ç i
παρελθόν	p a r e l θ ò n
αριθμό	a r i θ m ò
σημαντική	s i m a d i c ì
πόλης	p ò l i s
κοινωνική	c i n o n i c ì
αυτο	a f t o
χαρακτήρα	x a r a k t ì r a
μελέτη	m e l è t i
κεφάλι	c e f à l i
μόνη	m ò n i
παίρνει	p è r n i
ουσία	u s ì a
οικονομία	i k o n o m ì a
αυγούστου	a v ɣ o ì s t u
παραγωγή	p a r a ɣ o ʝ ì
στάση	s t à s i
κατ	k a t
παρακάτω	p a r a k à t o
εμάς	e m à s
κράτη	k r à t i
εντός	e d ò s
κόστος	k ò s t o s
επόμενη	e p ò m e n i
απριλίου	a p r i l ì u
πρώην	p r ò i n
σωστά	s o s t à
ενέργειας	e n è r ʝ i a s
κατηγορία	k a t i ɣ o r ì a
ήρθε	ì r θ e
δράση	ð r à s i
ασφάλεια	a s f à l i a
δήλωσε	ð ì l o s e
καθένας	k a θ è n a s
τουρκία	t u r c ì a
περάσει	p e r à s i
κράτους	k r à t u s
καν	k a n
αναφέρει	a n a f è r i
εξέλιξη	e k s è l i k s i
έλεγχο	è l e ɣ x o
υπολογιστή	i p o l o ʝ i s t ì
επάνω	e p à n o
λέξεις	l è k s i s
δημοκρατίας	ð i m o k r a t ì a s
χρόνος	x r ò n o s
υπέρ	i p è r
ανάπτυξης	a n à p t i k s i s
λίγα	l ì ɣ a
δω	ð o
δια	ð i/j a
γιώργος	ʝ ò r ɣ o s
άρθρα	à r θ r a
παραγωγής	p a r a ɣ o ʝ ì s
μέσο	m è s o
θεωρία	θ e o r ì a
άμεσα	à m e s a
εκείνο	e c ì n o
εμένα	e m è n a
συγκεκριμένη	s i ɟ e k r i m è n i
εκπαίδευση	e k p è ð e f s i
μελών	m e l ò n
εκατομμύρια	e k a t o m ì r i/j a
ερώτηση	e r ò t i s i
τιμές	t i m è s
πολιτικές	p o l i t i c è s
αλλάξει	a l à k s i
σημαντικά	s i m a d i k à
ταυτόχρονα	t a f t ò x r o n a
ισχύει	i s ç ì i
ένωση	è n o s i
θεό	θ e ò
υπήρξε	i p ì r k s e
λειτουργεί	l i t u r ʝ ì
συμβουλίου	s i m v u l ì u
υπηρεσιών	i p i r e s ç ò n
μήπως	m ì p o s
θάνατο	θ à n a t o
θέλουμε	θ è l u m e
οικογένεια	i k o ʝ è n i a
πολιτικό	p o l i t i k ò
φίλους	f ì l u s
εξουσία	e k s u s ì a
έκαναν	è k a n a n
πότε	p ò t e
εβδομάδα	e v ð o m à ð a
δεδομένα	ð e ð o m è n a
πλήρη	p l ì r i
έρθει	è r θ i
προσοχή	p r o s o ç ì
ευθύνη	e f θ ì n i
διαφορετικά	ð i/j a f o r e t i k à
νά	n à
προστασία	p r o s t a s ì a
μείωση	m ì o s i
σχολείο	s x o l ì o
θεσσαλονίκη	θ e s a l o n ì c i
κυριακή	c i r i/j a c ì
αγοράς	a ɣ o r à s
οποίων	o p ì o n
μέρη	m è r i
υπόψη	i p ò p s i
χθες	x θ e s
νέου	n è u
στοιχείο	s t i ç ì o
αριθμός	a r i θ m ò s
παράθεση	p a r à θ e s i
τησ	t i s
ουσιαστικά	u s i/j a s t i k à
ελληνικό	e l i n i k ò
ιδέες	i ð è e s
τί	t ì
κύπρο	c ì p r o
γεγονότα	ʝ e ɣ o n ò t a
παιχνίδια	p e x n ì ð i/j a
κοινωνίας	c i n o n ì a s
αρχίσει	a r ç ì s i
παίζει	p è z i
τίτλος	t ì t l o s
σελ	s e l
υλικό	i l i k ò
τάξη	t à k s i
ευρώπης	e v r ò p i s
βρει	v r i
συγκεκριμένα	s i ɟ e k r i m è n a
έκανα	è k a n a
υγείας	i ʝ ì a s
ιανουαρίου	i a n u a r ì u
προγράμματα	p r o ɣ r à m a t a
τόπο	t ò p o
φωνή	f o n ì
αλλιώς	a l ʎ ò s
δεκεμβρίου	ð e c e m v r ì u
σύνδεση	s ì n ð e s i
κόμμα	k ò m a
παρασκευή	p a r a s c e v ì
άδεια	à ð i a
μπορούσαν	b o r ù s a n
έγιναν	è ʝ i n a n
δευτέρα	ð e f t è r a
θεωρείται	θ e o r ì t e
αφορούν	a f o r ù n
ποιότητα	p i ò t i t a
κάπου	k à p u
δικά	ð i k à
πρώτος	p r ò t o s
ανάλογα	a n à l o ɣ a
γράφει	ɣ r à f i
κοινή	c i n ì
βοηθήσει	v o i θ ì s i
επίπεδα	e p ì p e ð a
άτομο	à t o m o
όσοι	ò s i
μαΐου	m a ì u
είδα	ì ð a
τήν	t ì n
πρόσβαση	p r ò s v a s i
συμπεριφορά	s i b e r i f o r à
τής	t ì s
περιεχόμενο	p e r i/j e x ò m e n o
εποχής	e p o ç ì s
προσωπικό	p r o s o p i k ò
ζητήματα	z i t ì m a t a
περιλαμβάνει	p e r i l a m v à n i
καταγράφηκε	k a t a ɣ r à f i c e
δημόσια	ð i m ò s i/j a
έτος	è t o s
κανένας	k a n è n a s
ύπαρξη	ì p a r k s i
ήθελε	ì θ e l e
υγεία	i ʝ ì a
προσωπικά	p r o s o p i k à
βήμα	v ì m a
επαφή	e p a f ì
γη	ʝ i
γραμμή	ɣ r a m ì
κορυφή	k o r i f ì
παραμένει	p a r a m è n i
διάθεση	ð ʝ à θ e s i
κυβέρνησης	c i v è r n i s i s
χωριό	x o r ʝ ò
αποφάσεις	a p o f à s i s
άρθρου	à r θ r u
δυνατό	ð i n a t ò
αέρα	a è r a
πόδια	p ò ð i/j a
έλεγε	è l e ʝ e
επιτρέπει	e p i t r è p i
περιοχής	p e r i/j o ç ì s
προτάσεις	p r o t à s i s
επόμενο	e p ò m e n o
ποιο	p ç o
μαθητές	m a θ i t è s
πάμε	p à m e
υπάρξει	i p à r k s i
κανόνες	k a n ò n e s
ευρωπαϊκής	e v r o p a i c ì s
ελλήνων	e l ì n o n
πολιτών	p o l i t ò n
αρχίζει	a r ç ì z i
θάλασσα	θ à l a s a
συνεχώς	s i n e x ò s
φέρει	f è r i
προϊόντων	p r o i ò d o n
όρους	ò r u s
νόημα	n ò i m a
οποίους	o p ì u s
νοεμβρίου	n o e m v r ì u
κύπρου	c ì p r u
ερώτημα	e r ò t i m a
ενάντια	e n à d i/j a
κτλ	k t l
ξέρεις	k s è r i s
εφόσον	e f ò s o n
ελληνικά	e l i n i k à
ένωσης	è n o s i s
τίποτε	t ì p o t e
συνάντηση	s i n à d i s i
λειτουργίας	l i t u r ʝ ì a s
πάω	p à o
βλέπει	v l è p i
υπηρεσία	i p i r e s ì a
πηγή	p i ʝ ì
λίγες	l ì ʝ e s
αθηνών	a θ i n ò n
πιό	p ç ò
πόλεμο	p ò l e m o
συμφωνία	s i m f o n ì a
σωστή	s o s t ì
φάση	f à s i
πηγές	p i ʝ è s
εξαιρετικά	e k s e r e t i k à
προσωπική	p r o s o p i c ì
σκέψεις	s c è p s i s
νύχτα	n ì x t a
σάββατο	s à v v a t o
μιλάμε	m i l à m e
ελληνικής	e l i n i c ì s
παλιά	p a ʎ à
πάνε	p à n e
ελευθερία	e l e f θ e r ì a
σύντομα	s ì d o m a
έναντι	è n a d i
ευχαριστώ	e f x a r i s t ò
τρίτη	t r ì t i
φεβρουαρίου	f e v r u a r ì u
ξεκίνησε	k s e c ì n i s e
επιχείρηση	e p i ç ì r i s i
τό	t ò
οργάνωση	o r ɣ à n o s i
οποιοδήποτε	o p ç o ð ì p o t e
κύριε	c ì r i/j e
εικόνες	i k ò n e s
καλοκαίρι	k a l o c è r i
αύριο	à v r i o
επιλογές	e p i l o ʝ è s
γιά	ʝ à
λεφτά	l e f t à
κατεύθυνση	k a t è f θ i n s i
φωτογραφίες	f o t o ɣ r a f ì e s
νίκη	n ì c i
οικονομικά	i k o n o m i k à
αίσθηση	è s θ i s i
αναφορά	a n a f o r à
τετάρτη	t e t à r t i
βλέπουμε	v l è p u m e
κάποτε	k à p o t e
φίλοι	f ì l i
δεδομένων	ð e ð o m è n o n
βρείτε	v r ì t e
δυστυχώς	ð i s t i x ò s
δέκα	ð è k a
ανάλυση	a n à l i s i
δικαιωμάτων	ð i c e o m à t o n
παιδιών	p e ð ʝ ò n
συστήματα	s i s t ì m a t a
τρόπους	t r ò p u s
δημοσ	ð i m o s
χρήσης	x r ì s i s
έπειτα	è p i t a
συνέπεια	s i n è p i a
δωρεάν	ð o r e à n
θεωρώ	θ e o r ò
παρόν	p a r ò n
όρια	ò r i/j a
σοβαρά	s o v a r à
μεν	m e n
χρήστες	x r ì s t e s
άλλωστε	à l o s t e
γιατι	ʝ a t i
μικρά	m i k r à
αντικείμενο	a d i c ì m e n o
έργου	è r ɣ u
εξωτερικό	e k s o t e r i k ò
πρόσφατα	p r ò s f a t a
τέχνη	t è x n i
μητέρα	m i t è r a
οδηγεί	o ð i ʝ ì
χρησιμοποιείται	x r i s i m o p ç e ì t e
πλήρως	p l ì r o s
πρώτες	p r ò t e s
οποίου	o p ì u
πρόσωπα	p r ò s o p a
ταξίδι	t a k s ì ð i
φυσικό	f i s i k ò
πόρτα	p ò r t a
κριτική	k r i t i c ì
πράγματι	p r à ɣ m a t i
παίκτες	p è k t e s
χώρος	x ò r o s
μέγεθος	m è ʝ e θ o s
ερωτήσεις	e r o t ì s i s
αγώνες	a ɣ ò n e s
υποστήριξη	i p o s t ì r i k s i
τηλεόραση	t i l e ò r a s i
δίνουν	ð ì n u n
στόχος	s t ò x o s
εκκλησία	e k l i s ì a
προσπάθειες	p r o s p à θ i e s
χάρη	x à r i
πολυ	p o l i
θ	θ
έλλειψη	è l i p s i
βίντεο	v ì d e o
αντιμετώπιση	a d i m e t ò p i s i
ποσό	p o s ò
νέους	n è u s
πατέρα	p a t è r a
τεράστια	t e r à s t i/j a
λαός	l a ò s
παράλληλα	p a r à l i l a
φαινόμενο	f e n ò m e n o
πέμπτη	p è b t i
επιπλέον	e p i p l è o n
λαού	l a ù
υ	i
τραγούδι	t r a ɣ ù ð i
μέση	m è s i
αρχικά	a r ç i k à
αμερική	a m e r i c ì
επίθεση	e p ì θ e s i
ίδιοι	ì ð i/j o i
τόσα	t ò s a
χώρου	x ò r u
γνωρίζει	ɣ n o r ì z i
ορισμένες	o r i z m è n e s
τέτοιες	t è t i e s
χρησιμοποιούν	x r i s i m o p ç o ì n
ιστορίας	i s t o r ì a s
κύριο	c ì r i/j o
πέρασε	p è r a s e
πλειοψηφία	p l i o p s i f ì a
εφημερίδα	e f i m e r ì ð a
υπουργός	i p u r ɣ ò s
συμβεί	s i m v ì
χρησιμοποιεί	x r i s i m o p ç e ì
αίμα	è m a
απαντήσεις	a p a d ì s i s
χρώμα	x r ò m a
καφέ	k a f è
πίστη	p ì s t i
πεδίο	p e ð ì o
ιστοσελίδα	i s t o s e l ì ð a
νέος	n è o s
πνεύμα	p n è v m a
πραγματική	p r a ɣ m a t i c ì
μπορούσα	b o r ù s a
κανέναν	k a n è n a n
αυτοκίνητο	a f t o c ì n i t o
εταιρείες	e t e r ì e s
εγγραφη	e g r a f i
πλαίσια	p l è s i/j a
μάχη	m à ç i
πλανήτη	p l a n ì t i
μείνει	m ì n i
παράδοση	p a r à ð o s i
ολόκληρη	o l ò k l i r i
νησί	n i s ì
άρα	à r a
προϊόν	p r o i ò n
εύκολο	è v k o l o
υπήρχαν	i p ì r x a n
σχέδια	s ç è ð i/j a
καθαρά	k a θ a r à
απολύτως	a p o l ì t o s
απόλυτα	a p ò l i t a
άμεση	à m e s i
