Σ σ
λειέ ljè
λιού ljù
λιό ljò
λιώ ljò
λιέ ljè
ριά rjà
ρειά rjà
ριέ rjè
ριού rjù
ριό rjò
ριώ rjò
μιά mjà
μιέ mjè
μιού mjù
μιό mjò
μιώ mjò
ννιά njà
νιά njà
νιέ njè
νιού njù
νιό njò
νιώ njò
γκιά gjà
γκιέ gjè
γκιώ gjò
γκιού gjù
γκιό gjò
κιά kjà
κιέ kjè
κιώ kjò
κιού kjù
κιό kjò
χιά xjà
χιέ xjè
χιώ xjò
χιού xjù
χιό xjò
γιά ɣjà
γιέ ɣjè
γιού ɣjù
γιό ɣjò
γιώ ɣjò
δία ðìa
δεία ðìa
δίε ðìe
δίου ðìu
δίο ðìo
δίω ðìo
λία lìa
λίου lìu
λίο lìo
λίε lìe
λίω lìo
μία mìa
μίε mìe
μίου mìu
μίο mìo
μίω mìo
νία nìa
νίε nìe
νίου nìu
νίο nìo
νίω nìo
γκία gìa
γκίε gìe
γκίω gìo
γκίου gìu
γκίο gìo
κία kìa
κεία kìa
κείου kìu
κείω kìo
κείε kìe
κίε kìe
κίω kìo
κίου kìu
κίο kìo
χία xìa
χίε xìe
χίω xìo
χίου xìu
χίο xìo
γία ʝìa
γίε ʝìe
γίου ɣìu
γίο ɣìo
γείο ɣìo
γείου ɣìu
γείω ɣìο
γεία ɣìa
γίω ɣìo
ποια p*a
ποιου p*u
ποιο p*o
ποιω p*o
ποιε p*e
κια k*a
κιε k*e
κιω k*o
κιου k*u
κιο k*o
χια x*a
χιε x*e
χιω x*o
χιου x*u
χιο x*o
σμπ zb
σμ zm
σντ zd
σν zn
σγκ zg
αί è
αι e
οί ì
οι i
εί ì
ει i
ού ù
ου u
αύ àv
αυ av
εύ èv
ευ ev
έ è
ά à
α a
ε e
ή ì
η i
ΐ ì
ί ì
ϊ i
ι i
ΰ ì
ύ ì
ϋ i
υ i
ό ò
ο o
ώ ò
ω o
νν n
σγ zɣ
σδ zð
σρ zr
σλ zl
γκ g
γγ g
νg g
ντ d
μπ b
νb b
ππ p
π p
ττ t
τ t
κκ k
κ k
φ f
θ θ
χ x
β v
δ ð
γ ɣ
σσ s
σ s
ς s
ζ z
μμ m
μ m
νν n
ν n
λλ l
λ l
ρρ r
ρ r
ξ ks
ψ ps
